Produto,Data,CODOPER,CODCLI,CODFILIAL,Qtd_KG,Valor_Final
PATE FRANGO KG,2026-03-27,S,1.0,2,3.514,122.99
CUSCUZ C/ CARNE MOIDA KG,2026-03-28,S,1.0,2,5.12,133.09
CUSCUZ C/ CARNE MOIDA KG,2026-04-02,S,6613.0,2,62.8,690.8
CUSCUZ C/ CARNE MOIDA KG,2026-04-04,S,1.0,5,1.462,35.08
CUSCUZ C/ CARNE MOIDA KG,2026-04-08,S,1.0,5,0.272,6.53
PATE FRANGO KG,2026-04-01,S,1.0,2,3.09,108.15
PATE FRANGO KG,2026-04-02,S,1.0,2,4.147,145.14
PATE FRANGO KG,2026-04-05,S,1.0,5,2.87,100.45
PATE FRANGO KG,2026-04-06,S,1.0,2,2.334,81.69
CUSCUZ C/ SALSICHA KG,2026-04-06,E,,5,3.43,40.98
CUSCUZ C/ SALSICHA KG,2026-04-08,S,1.0,2,2.334,53.66
CUSCUZ C/ SALSICHA KG,2026-04-10,S,1.0,2,0.96,22.06
SOPA CARNE KG,2026-04-07,S,1.0,2,5.418,124.57
LASANHA CARNE MOIDA KG,2026-04-03,S,1.0,5,1.096,43.84
LASANHA CARNE MOIDA KG,2026-04-07,S,1.0,2,2.302,92.04
LASANHA FRANGO KG,2026-04-01,S,1.0,2,6.552,262.03
LASANHA FRANGO KG,2026-04-03,S,1.0,2,3.01,120.4
LASANHA FRANGO KG,2026-04-06,S,6613.0,2,10.294,264.46
LASANHA FRANGO KG,2026-04-07,S,1.0,2,1.676,67.04
BAIAO DE DOIS CF KG,2026-04-04,S,1.0,5,2.132,74.62
BAIAO DE DOIS CF KG,2026-04-04,S,1.0,2,2.874,100.59
BAIAO DE DOIS CF KG,2026-04-07,S,1.0,2,0.4,14.0
FRANGO ASSADO CF METADE KG,2026-04-08,S,1.0,2,3.54,123.86
FRANGO ASSADO CF METADE KG,2026-04-09,S,1.0,2,7.248,253.6
EMPADAO FRANGO KG,2026-04-06,S,6613.0,2,8.754,169.47
EMPADAO FRANGO KG,2026-04-06,S,1.0,5,0.414,20.7
TORTA SALGADA FRANGO KG,2026-03-27,S,1.0,5,1.646,65.84
CUSCUZ C/ CARNE MOIDA KG,2026-04-02,S,1.0,2,0.27,7.02
CUSCUZ C/ CARNE MOIDA KG,2026-04-03,S,1.0,2,2.59,67.32
CUSCUZ C/ CARNE MOIDA KG,2026-04-06,E,,5,7.052,84.28
CUSCUZ C/ CARNE MOIDA KG,2026-04-09,S,1.0,2,2.04,53.02
CUSCUZ C/ CARNE MOIDA KG,2026-04-10,S,1.0,2,2.164,56.25
PATE FRANGO KG,2026-03-30,S,1.0,2,2.952,103.32
PATE FRANGO KG,2026-03-30,S,1.0,5,2.032,71.12
PATE FRANGO KG,2026-04-01,S,1.0,5,2.566,89.81
CUSCUZ C/ SALSICHA KG,2026-04-06,S,1.0,5,0.78,17.94
SOPA CARNE KG,2026-04-02,S,6613.0,2,1.424,23.1
LASANHA CARNE MOIDA KG,2026-04-08,S,1.0,5,1.92,76.77
LASANHA FRANGO KG,2026-04-04,S,1.0,5,1.69,67.6
LASANHA FRANGO KG,2026-04-06,S,1.0,2,0.938,37.52
FRANGO ASSADO CORTE FACIL KG,2026-04-08,S,1.0,2,4.606,161.16
ARROZ C/ CREME FRANGO KG,2026-04-05,S,1.0,2,3.336,113.39
ARROZ C/ CREME FRANGO KG,2026-04-06,S,1.0,5,1.896,64.46
ARROZ C/ CREME FRANGO KG,2026-04-06,S,6613.0,2,8.976,85.81
FRANGO ASSADO CF METADE KG,2026-04-02,S,1.0,2,8.45,295.65
FRANGO ASSADO CF METADE KG,2026-04-09,S,1.0,5,1.57,54.94
CUSCUZ C/ CARNE KG,2026-04-06,S,6613.0,2,1.186,19.84
CARNE C/ MACAXEIRA KG,2026-04-06,E,,5,3.322,51.59
CARNE C/ MACAXEIRA KG,2026-04-06,S,6613.0,2,3.322,51.59
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-05,S,1.0,2,1.336,34.73
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-08,S,1.0,2,2.196,65.88
